"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 24, 2019","967.56","969.32","971.15","964.50","44.05K","-0.18%"
"Jul 23, 2019","969.32","968.94","971.55","967.95","44.13K","0.03%"
"Jul 22, 2019","969.02","974.13","974.16","966.43","46.85K","-0.53%"
"Jul 19, 2019","974.15","973.54","978.50","973.50","52.46K","0.06%"
"Jul 18, 2019","973.54","974.76","975.67","970.27","38.83K","-0.13%"
"Jul 17, 2019","974.84","969.27","974.84","968.29","47.49K","0.58%"
"Jul 16, 2019","969.25","972.84","977.25","968.50","49.65K","-0.36%"
"Jul 15, 2019","972.80","973.73","975.39","970.69","40.03K","-0.10%"
"Jul 12, 2019","973.73","975.35","977.77","973.55","43.39K","-0.18%"
"Jul 11, 2019","975.53","973.61","976.87","973.61","51.56K","0.19%"
"Jul 10, 2019","973.69","973.78","975.88","971.11","40.14K","0.01%"
"Jul 09, 2019","973.60","972.11","974.35","969.11","43.14K","0.16%"
"Jul 08, 2019","972.04","972.83","974.90","968.30","42.58K","-0.08%"
"Jul 05, 2019","972.83","971.87","975.20","971.72","42.57K","0.11%"
"Jul 04, 2019","971.79","965.11","973.12","965.11","47.68K","0.69%"
"Jul 03, 2019","965.11","965.48","966.98","963.58","35.14K","-0.05%"
"Jul 02, 2019","965.55","969.49","970.47","963.70","32.33K","-0.31%"
"Jul 01, 2019","968.52","964.01","970.04","964.01","40.13K","0.47%"
"Jun 28, 2019","964.01","956.55","964.01","949.84","42.44K","0.77%"
"Jun 27, 2019","956.60","962.37","964.49","955.06","43.47K","-0.67%"
"Jun 26, 2019","963.04","966.13","966.80","962.72","41.20K","-0.32%"
"Jun 25, 2019","966.13","964.69","966.13","961.46","42.01K","0.15%"
"Jun 24, 2019","964.69","965.69","969.37","962.65","34.72K","-0.10%"
"Jun 21, 2019","965.69","967.60","972.00","965.69","38.07K","-0.20%"
"Jun 20, 2019","967.60","961.03","967.70","961.03","39.00K","0.68%"
"Jun 19, 2019","961.03","954.82","964.41","954.82","37.68K","0.58%"
"Jun 18, 2019","955.50","958.23","964.35","953.38","31.24K","-0.58%"
"Jun 17, 2019","961.09","967.41","968.51","959.80","30.75K","-0.65%"
"Jun 14, 2019","967.35","967.46","970.90","965.81","35.20K","-0.02%"
"Jun 13, 2019","967.59","969.06","969.28","963.36","33.86K","-0.15%"
"Jun 12, 2019","969.06","973.73","973.73","967.65","33.68K","-0.49%"
"Jun 11, 2019","973.80","968.06","973.80","967.89","31.88K","0.60%"
"Jun 10, 2019","968.03","963.82","969.68","963.82","41.00K","0.45%"
"Jun 07, 2019","963.69","953.28","963.69","953.28","36.30K","1.09%"
"Jun 06, 2019","953.28","953.63","956.24","947.67","32.12K","-0.08%"
"Jun 05, 2019","954.02","950.90","959.74","950.90","40.74K","0.33%"
"Jun 04, 2019","950.90","951.87","957.00","949.65","39.87K","-0.10%"
"Jun 03, 2019","951.87","967.24","967.24","950.97","52.82K","-1.59%"
"May 31, 2019","967.24","979.73","980.34","966.98","47.70K","-1.27%"
"May 30, 2019","979.73","982.49","983.18","978.90","39.66K","-0.27%"
"May 29, 2019","982.42","984.25","984.97","980.12","48.47K","-0.14%"
"May 28, 2019","983.82","980.19","983.86","977.90","51.09K","0.38%"
"May 27, 2019","980.10","979.56","982.85","978.02","39.29K","0.06%"
"May 24, 2019","979.56","985.27","986.87","978.70","44.74K","-0.59%"
"May 23, 2019","985.41","981.46","985.41","976.51","46.04K","0.40%"
"May 22, 2019","981.46","983.44","987.14","980.59","42.96K","-0.17%"
"May 21, 2019","983.11","985.57","987.21","982.63","43.40K","-0.25%"
"May 20, 2019","985.54","979.32","985.54","978.77","52.73K","0.64%"
"May 17, 2019","979.32","981.84","983.60","978.47","43.01K","-0.26%"
"May 16, 2019","981.84","981.06","985.64","981.06","53.15K","0.09%"
"May 15, 2019","980.99","969.78","981.24","969.78","63.52K","1.18%"
"May 14, 2019","969.57","967.33","969.57","962.12","49.78K","0.23%"
"May 13, 2019","967.38","959.14","967.52","958.64","47.01K","0.81%"
"May 10, 2019","959.62","952.48","959.62","952.21","44.49K","0.79%"
"May 09, 2019","952.14","952.22","957.36","947.62","39.57K","-0.01%"
"May 08, 2019","952.22","956.71","956.71","947.01","39.87K","-0.52%"
"May 07, 2019","957.18","955.55","963.73","952.70","41.43K","0.22%"
"May 06, 2019","955.05","970.35","970.35","953.95","51.35K","-1.75%"
"May 03, 2019","972.02","974.46","977.08","970.58","44.62K","-0.30%"
"May 02, 2019","974.99","978.82","979.83","973.38","49.19K","-0.42%"
"Apr 26, 2019","979.06","974.22","979.50","973.91","36.40K","0.50%"
"Apr 25, 2019","974.23","978.01","979.78","973.29","44.00K","-0.39%"
"Apr 24, 2019","978.04","971.62","978.74","971.62","48.31K","0.66%"
"Apr 23, 2019","971.60","969.95","974.19","968.66","35.76K","0.17%"
"Apr 22, 2019","969.95","979.24","981.43","968.74","42.14K","-0.89%"
"Apr 19, 2019","978.70","972.87","983.49","972.87","36.77K","0.60%"
"Apr 18, 2019","972.83","985.46","985.46","970.25","52.14K","-1.31%"
"Apr 17, 2019","985.70","996.01","1,001.80","985.65","62.30K","-1.04%"
"Apr 16, 2019","996.01","1,001.68","1,001.68","986.95","53.10K","-0.57%"
"Apr 12, 2019","1,001.68","1,000.32","1,002.45","998.19","42.24K","0.14%"
"Apr 11, 2019","1,000.28","998.14","1,003.95","997.54","47.12K","0.19%"
"Apr 10, 2019","998.38","1,007.49","1,007.49","993.61","56.42K","-0.93%"
"Apr 09, 2019","1,007.80","1,017.97","1,021.06","1,007.14","63.95K","-1.00%"
