"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 23, 2016","751.02","753.74","755.81","748.95","10.63K","-0.41%"
"Dec 22, 2016","754.12","757.22","759.33","753.03","13.45K","-0.53%"
"Dec 21, 2016","758.13","754.05","758.56","753.41","17.01K","0.49%"
"Dec 20, 2016","754.42","758.12","758.78","752.56","14.85K","-0.43%"
"Dec 19, 2016","757.71","757.36","760.76","755.48","15.95K","0.47%"
"Dec 16, 2016","754.16","754.77","757.50","751.96","12.09K","-0.29%"
"Dec 15, 2016","756.36","759.35","759.35","753.29","15.89K","0.01%"
"Dec 14, 2016","756.30","742.32","756.61","742.32","22.60K","1.68%"
"Dec 13, 2016","743.79","749.86","752.73","739.05","15.77K","-0.84%"
"Dec 12, 2016","750.06","764.41","766.72","750.06","17.34K","-2.11%"
"Dec 09, 2016","766.19","770.80","774.38","765.74","17.47K","-0.98%"
"Dec 08, 2016","773.76","777.03","778.22","771.90","15.44K","-0.05%"
"Dec 07, 2016","774.13","773.85","777.40","772.73","24.93K","-0.29%"
"Dec 06, 2016","776.41","788.13","788.77","775.45","22.39K","-1.39%"
"Dec 05, 2016","787.38","787.09","789.21","783.34","20.80K","0.08%"
"Dec 02, 2016","786.76","788.49","789.58","784.57","26.56K","-0.07%"
"Dec 01, 2016","787.35","784.89","788.59","784.89","21.72K","0.28%"
"Nov 30, 2016","785.16","780.22","785.16","776.97","17.70K","0.49%"
"Nov 29, 2016","781.30","784.44","786.32","778.25","17.56K","-0.16%"
"Nov 28, 2016","782.55","788.19","790.54","778.94","19.95K","-0.71%"
"Nov 25, 2016","788.16","790.67","791.84","786.63","15.62K","-0.16%"
"Nov 24, 2016","789.46","789.04","792.08","788.87","20.33K","0.21%"
"Nov 23, 2016","787.83","788.20","791.82","786.50","19.73K","-0.14%"
"Nov 22, 2016","788.95","791.82","792.98","787.76","19.10K","-0.09%"
"Nov 21, 2016","789.70","790.55","792.69","786.11","16.64K","-0.02%"
